numero de instancias: 500 
iteración: 1, distancia: 0.007667231554901466, clusters fusionados: 500:[36, 251], Silhouette Score: 0.0033497146763056423
iteración: 2, distancia: 0.008185444822086064, clusters fusionados: 501:[116, 117], Silhouette Score: 0.007218325234527718
iteración: 3, distancia: 0.009022329204729656, clusters fusionados: 502:[278, 321], Silhouette Score: 0.00935222439474626
iteración: 4, distancia: 0.009265688970833174, clusters fusionados: 503:[104, 270], Silhouette Score: 0.012209393919254937
iteración: 5, distancia: 0.00964025272680413, clusters fusionados: 504:[44, 141], Silhouette Score: 0.015573021589209188
iteración: 6, distancia: 0.010325541861009228, clusters fusionados: 505:[108, 155], Silhouette Score: 0.018156339302184656
iteración: 7, distancia: 0.010367655718446432, clusters fusionados: 506:[119, 168], Silhouette Score: 0.020859843312847196
iteración: 8, distancia: 0.011074386439450933, clusters fusionados: 507:[25, 129], Silhouette Score: 0.024019699650090678
iteración: 9, distancia: 0.011396182749971185, clusters fusionados: 508:[477, 482], Silhouette Score: 0.02710311377519242
iteración: 10, distancia: 0.012587036362279265, clusters fusionados: 509:[279, 329], Silhouette Score: 0.030349710700534202
iteración: 11, distancia: 0.014393061446125151, clusters fusionados: 510:[237, 349], Silhouette Score: 0.03244171220947028
iteración: 12, distancia: 0.014554619958731889, clusters fusionados: 511:[13, 285], Silhouette Score: 0.035994324327129464
iteración: 13, distancia: 0.014589617859549776, clusters fusionados: 512:[202, 398], Silhouette Score: 0.038188913339826096
iteración: 14, distancia: 0.01602858576266541, clusters fusionados: 513:[217, 393], Silhouette Score: 0.04100597697505481
iteración: 15, distancia: 0.017155944209442206, clusters fusionados: 514:[190, 409], Silhouette Score: 0.0441880906141941
iteración: 16, distancia: 0.017327934037187926, clusters fusionados: 515:[163, 426], Silhouette Score: 0.046823376692561446
iteración: 17, distancia: 0.017439106081643105, clusters fusionados: 516:[167, 252], Silhouette Score: 0.04917539054370681
iteración: 18, distancia: 0.017484754944928235, clusters fusionados: 517:[159, 201], Silhouette Score: 0.052634040584725636
iteración: 19, distancia: 0.01821883525679183, clusters fusionados: 518:[299, 454], Silhouette Score: 0.055655882619635624
iteración: 20, distancia: 0.019023280755766245, clusters fusionados: 519:[242, 404], Silhouette Score: 0.058368301354199306
iteración: 21, distancia: 0.019832572070991056, clusters fusionados: 520:[339, 435], Silhouette Score: 0.060292263026914615
iteración: 22, distancia: 0.020003336448280853, clusters fusionados: 521:[216, 257], Silhouette Score: 0.06193776742633771
iteración: 23, distancia: 0.020698880894713976, clusters fusionados: 522:[223, 368], Silhouette Score: 0.06477727423793027
iteración: 24, distancia: 0.020706940637321865, clusters fusionados: 523:[271, 353], Silhouette Score: 0.06765071090040391
iteración: 25, distancia: 0.02154471199871742, clusters fusionados: 524:[29, 331], Silhouette Score: 0.07061904672256088
iteración: 26, distancia: 0.021812981057510027, clusters fusionados: 525:[89, 264], Silhouette Score: 0.0730924964263479
iteración: 27, distancia: 0.021885563869435777, clusters fusionados: 526:[35, 502], Silhouette Score: 0.07491428967883465
iteración: 28, distancia: 0.022199300228046292, clusters fusionados: 527:[88, 132], Silhouette Score: 0.07720384939212761
iteración: 29, distancia: 0.022559462862102746, clusters fusionados: 528:[172, 243], Silhouette Score: 0.0787430074031559
iteración: 30, distancia: 0.022846510008896957, clusters fusionados: 529:[52, 55], Silhouette Score: 0.08013149680322013
iteración: 31, distancia: 0.02287985954651523, clusters fusionados: 530:[12, 328], Silhouette Score: 0.08209037826090607
iteración: 32, distancia: 0.022883443046731948, clusters fusionados: 531:[78, 320], Silhouette Score: 0.08529952623850098
iteración: 33, distancia: 0.023716593309542407, clusters fusionados: 532:[68, 362], Silhouette Score: 0.08788039241520224
iteración: 34, distancia: 0.0237741554307633, clusters fusionados: 533:[440, 443], Silhouette Score: 0.09069896629643921
iteración: 35, distancia: 0.02394616052356857, clusters fusionados: 534:[109, 383], Silhouette Score: 0.09183186334345578
iteración: 36, distancia: 0.024148352801908354, clusters fusionados: 535:[312, 472], Silhouette Score: 0.09391923134281774
iteración: 37, distancia: 0.024215722435973048, clusters fusionados: 536:[45, 387], Silhouette Score: 0.09545792868840748
iteración: 38, distancia: 0.025063958676225156, clusters fusionados: 537:[14, 261], Silhouette Score: 0.09641564037581984
iteración: 39, distancia: 0.02560430074615479, clusters fusionados: 538:[131, 181], Silhouette Score: 0.0988663664399495
iteración: 40, distancia: 0.0261639530754075, clusters fusionados: 539:[27, 67], Silhouette Score: 0.10183648813622864
iteración: 41, distancia: 0.026758263713241873, clusters fusionados: 540:[289, 351], Silhouette Score: 0.10388479932432
