id,label,dataset
1608975642653229056,4,training
1586392004933844993,3,training
1357042744393412613,1,training
1569279740665544705,0,training
1608975706834468866,4,training
1608975304097431552,4,training
1608975504551579650,4,training
1608975781430169600,4,training
1608974495141990402,4,training
1608975159289077763,4,training
1607972896143736837,3,training
1507060620184756224,2,validation
1608975425702887424,4,training
1608975182210949120,4,training
1608975216386125824,4,training
1608975772735401985,4,training
1608974866564415488,4,training
1608975827953385475,4,test
1608975102716305408,4,training
1608974477890813952,4,training
1608974976006385667,4,training
1500398794197852168,0,training
1608974684657430531,4,test
1608975824635703297,4,training
1608974548288045056,4,training
1608975107682357248,4,training
1608975441683165184,4,training
1608974639983923200,4,training
1608975670989983744,4,training
1608975375488679938,4,training
1608975967967666177,4,training
1608974967546183680,4,training
1608975754683088896,4,training
1608975384309268481,4,training
1528600552057323520,2,training
1608975506636177409,4,validation
1608975035318013952,4,test
1419809361153728515,1,validation
1608975443146997760,4,training
1608975487715663873,4,validation
1452975349931905030,1,validation
1608975328680235008,4,training
1608975659962859520,4,test
1586818872807768064,1,training
1608975151001108481,4,training
1535340763969531904,2,validation
1608975062153191432,4,training
1608975317322043392,4,validation
1608975496574009344,4,validation
1608975035447877632,4,test
1608976043679023104,4,training
1608974554730467329,4,validation
1608975596268421123,4,training
1608975650874077186,4,training
1608974759030849536,4,training
1608975907762638848,4,training
1608976154685485057,4,training
1388158997463592968,1,training
1608975365724344320,4,training
1507078995266965517,2,training
1608975800086429698,4,training
1601599354519040001,3,training
1608974996243730439,4,training
1394384793853259777,1,training
1608975789164494848,4,training
1608975586533466114,4,training
1608975358971498496,4,test
1608210626131664902,3,training
1594395521010974720,3,training
1608975577821896705,4,training
1608974764311474176,4,test
1608975421797990401,4,training
1601642943093256193,1,training
1608975161625292801,4,training
1536797985140514818,2,training
1445780209802772494,1,test
1608975767995846656,4,training
1608975817463455746,4,training
1506839550962040833,0,training
1438954417043263494,1,training
1608975002262700032,4,training
1608975724714790912,4,test
1583880581900664833,3,training
1608976170049212419,4,validation
1439001512240365569,0,training
1608975413921079296,4,training
1608975701348331520,4,training
1608974637777719297,4,training
1608975121712308224,4,training
1608975790007541762,4,training
1608974600574238721,4,validation
1608974638490726400,4,training
1501805528191799296,2,training
1608974852609953793,4,training
1608975886006767616,4,training
1608975269754462208,4,training
1366438907504640006,1,training
1608974662184366080,4,training
1608974999951478787,4,validation
1608974417195040768,4,training
1608975418895519745,4,validation
1608975245670776832,4,training
1608975159217786882,4,training
1479860309322043403,0,training
1608975534511517696,4,training
1608975545668349953,4,training
1608975800769847296,4,training
1509196234745073668,3,test
1608975558045761536,4,validation
1419500554385084416,1,validation
1608975683648368640,4,training
1608975394497245186,4,training
1608975014384263169,4,training
1608974387855908865,4,training
1608976015010762757,4,validation
1608975826946777089,4,training
1608975574470627329,4,test
1608974784460881925,4,training
1433500630023385092,0,validation
1442682683365019651,1,validation
1608974475412017153,4,training
1608974579644653568,4,training
1608975790280167425,4,training
1608975057715625984,4,training
1608974745277550594,4,training
1608974818636099584,4,test
1608976122682679296,4,training
1608975165005910019,4,training
1608974744904400896,4,test
1608974454255923200,4,validation
1608974619821887488,4,training
1608974948332339200,4,training
1608974728622133248,4,training
1608975238905331712,4,validation
1354066240554348552,1,training
1404287421936812035,1,training
1608975153597407232,4,training
1608975452647084035,4,training
1608974505925566464,4,training
1608976091833860097,4,validation
1608975874560491522,4,test
1608975374867890176,4,test
1596766311350038528,3,training
1608974809282777088,4,training
1509049465654870020,2,test
1608975891866189824,4,validation
1608975873268645889,4,training
1608975248095051776,4,test
1608974611202605056,4,training
1608976177083068416,4,test
1608975162342518784,4,training
1608975532292706306,4,training
1608974771793940482,4,training
1607836821731569664,3,training
1604776608665042945,0,training
1608975419558232064,4,training
1608974741012115457,4,test
1608976048607334400,4,training
1503901067708452869,2,training
1608974917038649346,4,training
1608975145020051457,4,training
1608975664467816448,4,training
1608975892440846342,4,training
1608975067790311426,4,training
1608975959163543552,4,training
1499906707442393089,3,training
1608975465783635968,4,training
1608975974925832192,4,training
1608974684674207745,4,test
1381479947890479105,1,training
1608975702950567936,4,training
1608975494296535040,4,training
1494568848820883457,2,training
1608974636552982528,4,training
1605787896593514496,3,test
1399555207403560962,1,training
1608975425509953543,4,training
1608975769916833792,4,training
1608975990998597632,4,test
1436432711984553985,3,training
1608975552924495872,4,training
1608975744776179712,4,validation
1608975618267308032,4,training
1608974918095601666,4,training
1595038062341656581,3,training
1608976124775919618,4,training
1608975450017263616,4,training
1474497648166068230,1,test
1608975103437725697,4,training
1608975190410813440,4,validation
1608974628541837313,4,test
1608974862369918976,4,test
1608975779601285120,4,test
1436828174864764932,3,training
1500884993349931020,2,training
1608974561038721024,4,test
1373074047622389764,1,test
1608975304491696128,4,test
1608974729062514688,4,training
1608974404373086210,4,training
1608974852018556928,4,training
1608975783615426560,4,test
1500248271595388929,0,training
1576953586374017024,4,training
1608975426118094848,4,validation
1600251516320763909,3,training
1608974419971702784,4,training
1608976064445046784,4,training
1608975642112184321,4,training
1449680369993895937,0,test
1608976008262356993,4,training
1608975650509197312,4,training
1585269294434131968,4,validation
1608975414088826880,4,training
1586803586435907584,4,training
1608975405108834304,4,training
1608975756847382530,4,training
1608975621769814017,4,training
1608975928113389568,4,training
1608975335944753152,4,validation
1608975522629050369,4,training
1540742618279071746,2,training
1608975414034305026,4,training
1608975647870963714,4,training
1544831369091620866,3,validation
1608976025886814210,4,validation
1608975427934253057,4,training
1608974757831266305,4,training
1608975076808085505,4,training
1386173191995940865,1,training
1608975268139663363,4,training
1608974463588265984,4,training
1433413184917065728,3,validation
1608976186897752064,4,validation
1608975587707846661,4,training
1608975972371697665,4,training
1352019090647494663,1,validation
1511896679439601668,1,training
1608974481946718208,4,training
1608975390902743040,4,training
1572303859875475456,3,training
1608975905531236352,4,training
1608975409856794627,4,training
1608974561466535938,4,training
1608975649368072192,4,validation
1513180343766945799,0,training
1608974610116251648,4,test
1608974691099869185,4,training
1608975252197093376,4,test
1608976076910247936,4,training
1608976075236978688,4,training
1608975432422141953,4,training
1608975673053548545,4,training
1608974436732108800,4,training
1483730302111559689,0,training
1397131075034378242,1,training
1532173941866913792,2,training
1600675121282576386,1,test
1608975174589894657,4,training
1608975723930451970,4,training
1608975830717468673,4,test
1608975889102172160,4,validation
1608975217409523713,4,training
1374569268122116096,3,training
1608976084372180992,4,test
1608975146794250240,4,training
1608975855119921153,4,validation
1608976116123066369,4,training
1608975924380463111,4,training
1599501492498862081,3,training
1608975950435463170,4,training
1608974827871965187,4,training
1608975201055670273,4,test
1608975331851141120,4,training
1608975522603884544,4,training
1608974604101652480,4,test
1497869100663541760,0,validation
1608975510557831168,4,training
1608974818799681543,4,training
1496289522128236545,2,training
1608975483466821632,4,validation
1606129928281497606,3,training
1480749855299547136,3,training
1608975123758850048,4,training
1608976045805568000,4,training
1608974880745353217,4,test
1608975858017992708,4,training
1608975329103679489,4,training
1608975128096047104,4,test
1499617070102691843,1,training
1497749639952535555,2,training
1608974905261056001,4,test
1386656996074696709,1,validation
1480970173800943616,2,training
1608975642766221313,4,training
1603186866856939521,3,training
1608974787631788032,4,test
1608976078546300928,4,training
1508942883910389767,2,validation
1517774214891114497,2,training
1586869141574664193,1,test
1608975022584135683,4,training
1608976080786034691,4,test
1608975670818004993,4,training
1608974792677556224,4,validation
1608976108367609856,4,training
1478546392209661954,2,test
1608976152743272449,4,training
1608974397322448896,4,test
1608974689824837632,4,training
1608975495202508800,4,validation
1608974971401039872,4,training
1608975592376135680,4,training
1608975441737699330,4,test
1608975326406914053,4,training
1608975284841369602,4,training
1484151169547382787,2,training
1608975667575795712,4,training
1608975865035247620,4,training
1608975710848417795,4,training
1608974834637369344,4,training
1503878282252537864,0,training
1451278605644967940,0,training
1608975086593413121,4,training
1608974829872463872,4,training
1608975772802486274,4,test
1608975676438384640,4,training
1475990038206894089,0,training
1608974961024335872,4,validation
1601256178046365697,2,training
1608975477674508289,4,test
1608974943987068929,4,training
1608974729305591809,4,validation
1606615005671178241,3,training
1608975283608248321,4,training
1608974936210563072,4,training
1608974959476633602,4,training
1608975199873171458,4,training
1424210527891300354,4,training
1608976203452645378,4,training
1608976166421172228,4,training
1483903650791673863,1,training
1608975738132201473,4,validation
1608974764600864768,4,test
1511561860293693442,0,training
1608975849822486532,4,validation
1608975219141623810,4,training
1608976198910054403,4,training
1571722796866359298,0,training
1608976059193765889,4,training
1608975411328831489,4,training
1608975350285086721,4,training
1608975181355286529,4,training
1595516874804318209,3,training
1608975558901403648,4,training
1500462320480559109,0,validation
1608974862005198848,4,validation
1537532895832571904,0,training
1608975543147593728,4,training
1480202788072308740,0,training
1608976047248404482,4,training
1608975654414061569,4,training
1608976027325468672,4,test
1596639755424665600,3,validation
1608974535730270208,4,training
1608975470292512768,4,training
1608975213534023680,4,training
1608975736236564482,4,training
"1,51E+18",0,training
1608975066133323776,4,training
1608975288368791552,4,test
1608974556018147329,4,test
1608975358245896192,4,test
1608974415005618179,4,training
1608975231259140096,4,training
1608976115732996096,4,training
1499991004560388096,2,test
1608975518120185857,4,validation
1608974518885687297,4,training
1412527567765225489,1,training
1531774252847878144,0,training
1608975271721320450,4,training
1608974670522613760,4,training
1508294526091370499,2,training
1608974846599520257,4,training
1608976100767547393,4,training
1608975562080387072,4,training
1500534812741935109,3,test
1454103682677624832,2,validation
1608975456748929024,4,training
1586814819470032902,0,training
1608974553119694848,4,validation
1557808016904306690,3,test
1596191283550511105,3,test
0,4,training
1608974641540001792,4,validation
1608976208015904769,4,training
1608974483481858049,4,training
1608974826265362433,4,test
1397582451329970176,1,training
1608974663815954437,4,validation
1524897509528817666,0,validation
1608975753005395968,4,training
1608975888108113920,4,test
1608975021342593025,4,training
1538170498340818945,2,test
1608975356203261953,4,training
1534245064540663808,1,training
1466654492959526912,0,training
1608974827255365632,4,validation
1608975403627986945,4,training
1608974551064670208,4,training
1608976162235256833,4,training
1608975226825764865,4,training
1528195616991760384,1,validation
1608975604652871681,4,training
1608975311873658881,4,validation
1608974466465529856,4,training
1608975117673168897,4,training
1608975099641868288,4,training
1608976119411396608,4,validation
1608975101231517697,4,test
1608975524923346946,4,training
1608974903767711745,4,training
1608975770348847104,4,training
1608975479033442304,4,test
1608975072261468162,4,test
1608975896635138049,4,training
1514288770685624320,2,training
1608975125168402432,4,validation
1608975165974798336,4,test
1608975417050005504,4,training
1608976101694660612,4,training
1608975168835309570,4,validation
1608974980037120001,4,training
1608974524695072770,4,validation
1608974904707416066,4,training
1608976110326513665,4,test
1608975024479961089,4,training
1608975582657925120,4,training
1608975299462717440,4,training
1608974817415282695,4,training
1608976121886044161,4,training
1608974470307536899,4,training
1608975261592358912,4,training
1608976103431106560,4,training
1608975416886460416,4,test
1608975850585878529,4,training
1608974673177640963,4,training
1608975887948746755,4,training
1608974668828114945,4,validation
1608975888586268674,4,training
1535744231461253120,0,training
1608975822832168961,4,validation
1483999354100891651,0,training
1608975709942480899,4,training
1608976083705266176,4,training
1608975518434750465,4,training
1558923151400222726,3,training
1347104646259621890,4,test
1586866408335589379,4,training
1608975029865443328,4,test
1608975932374810624,4,validation
1498385479930368002,1,test
1608975354206748684,4,training
1493005815762104323,0,training
1608974379169484800,4,training
1608975696113864704,4,training
1476316203664687108,1,training
1608976031716888578,4,validation
1608975328189493248,4,training
1608975250599051264,4,test
1608976210997944321,4,test
1608975520112443394,4,training
1608974405010620417,4,training
1598304819378556929,0,training
1608976160268111872,4,training
1608976136150863874,4,validation
1608976019880382465,4,training
1608974900383084544,4,training
1608974812130705409,4,test
1608975155900067842,4,training
1608976202357968896,4,training
1608974518227472385,4,test
1478008501003702273,2,training
1608975681895141379,4,training
1608976075950010369,4,training
1497555022782996480,0,training
1608974472593420289,4,training
1608975027357073411,4,validation
1608975302553894913,4,training
1383044879106854913,1,test
1586860902980124673,4,training
1608974510665138176,4,training
1527016452758589440,2,training
1608975983465439233,4,training
1608975122412744705,4,training
1608974693373206528,4,test
1608975212393140225,4,validation
1608975766162919425,4,validation
1351643241620283392,1,validation
1608975237860954112,4,training
1608975302990114817,4,test
1515223100656259074,0,training
1608975755693936641,4,validation
1413225283662979073,0,test
1608975451028090880,4,training
1608974529065521152,4,test
1524028278301933568,2,validation
1608975231351402497,4,training
1603436345283661825,0,training
1440704158596620298,3,test
1608976209987399680,4,validation
1608975284665225216,4,training
1478051513507491848,2,training
1496122355357462534,0,training
1608975680859172865,4,training
1608975097821368320,4,training
1608975468434169857,4,training
1608976109915500545,4,training
1608974896335552514,4,validation
1608975031887106048,4,training
1608974528277012480,4,validation
1608975528060682240,4,training
1453259287787081736,1,validation
1608975102372368384,4,training
1608975794294099971,4,training
1608974887120687104,4,training
1597395235352772609,3,training
1608974580319932418,4,training
1608974459578519552,4,training
1608975140314058754,4,training
1608975455155277825,4,training
1436794314047119364,1,validation
1608975488562696193,4,training
1608974726948429825,4,training
1608975664001998848,4,test
1491924801534894082,0,training
1608974432743337986,4,training
1608975258215936000,4,training
1470092850201169923,1,training
1597712126914998272,0,training
1536414808500731905,2,validation
1504235005748428800,4,training
1608975346594115584,4,training
1608976208254861314,4,training
1461747118700326914,1,test
1608974879759663104,4,training
1531162163406065664,0,training
1608974619784142849,4,training
1608976029392969728,4,validation
1608975446527594497,4,training
1608975511270850561,4,training
1608975030234546176,4,training
1493225796751745026,0,validation
1608975087365140486,4,training
1608975450126311424,4,training
1502433625567993869,2,training
1353253859196452867,0,training
1608975881585971203,4,training
1608975265140736000,4,training
1608974602922852352,4,training
1591846906015387648,3,training
1608975617621635072,4,training
1418779833551699971,1,training
1608975395537457152,4,training
"1,61E+18",4,training
1608974571390242818,4,test
1608975611388911616,4,validation
1608974887665950721,4,training
1608974725417668613,4,training
1472385650183880704,1,training
1498643087987716098,0,training
1608975818784636929,4,training
1502954752514342914,0,validation
1531684462257373191,2,validation
1608649208076324865,0,test
1608975356735926274,4,training
1608975976008122368,4,training
1608976196251058179,4,test
1608976224214487040,4,test
1608975433084841985,4,test
1608975134173597698,4,validation
1608975522293518337,4,validation
1589849463417602048,3,test
